dataset_id,movie_name,trial_idx,n_frames,trial_duration_s,frame_rate_hz,trial_start,trial_end
2024.02.26-14.21.41-Rec,step_up_5s_5i_b0_30x,15,600,9.9963,60.02220821704031,15423601,15623527
2024.02.26-14.21.41-Rec,step_up_5s_5i_b0_30x,16,600,9.9684,60.19020103527145,15623527,15822895
2024.02.26-14.21.41-Rec,step_up_5s_5i_b0_30x,17,600,9.97865,60.128374078657934,15822895,16022468
2024.02.26-14.21.41-Rec,step_up_5s_5i_b0_30x,18,600,9.9874,60.07569537617398,16022468,16222216
2024.02.26-14.21.41-Rec,step_up_5s_5i_b0_30x,19,600,9.98955,60.06276559004159,16222216,16422007
2024.02.26-14.21.41-Rec,step_up_5s_5i_b0_30x,20,600,9.9775,60.13530443497871,16422007,16621557
2024.02.26-14.21.41-Rec,step_up_5s_5i_b0_30x,21,600,9.973,60.16243858417727,16621557,16821017
2024.02.26-14.21.41-Rec,step_up_5s_5i_b0_30x,22,600,9.9841,60.09555192756483,16821017,17020699
2024.02.26-14.21.41-Rec,step_up_5s_5i_b0_30x,23,600,9.95525,60.269706938550016,17020699,17219804
2024.02.26-14.21.41-Rec,step_up_5s_5i_b0_30x,24,600,9.9567,60.26092982614722,17219804,17418938
2024.02.26-14.21.41-Rec,step_up_5s_5i_b0_30x,25,600,9.98065,60.1163250890473,17418938,17618551
2024.02.26-14.21.41-Rec,step_up_5s_5i_b0_30x,26,600,9.98795,60.072387226608065,17618551,17818310
2024.02.26-14.21.41-Rec,step_up_5s_5i_b0_30x,27,600,9.9784,60.12988054197065,17818310,18017878
2024.02.26-14.21.41-Rec,step_up_5s_5i_b0_30x,28,600,9.9504,60.2990834539315,18017878,18216886
2024.02.26-14.21.41-Rec,step_up_5s_5i_b0_30x,29,600,9.96285,60.2237311612641,18216886,18416143
2024.02.26-14.21.41-Rec,step_up_5s_5i_b0_3x,0,600,9.9724,60.16605832096587,567831,767279
2024.02.26-14.21.41-Rec,step_up_5s_5i_b0_3x,1,600,9.9716,60.17088531429259,767279,966711
2024.02.26-14.21.41-Rec,step_up_5s_5i_b0_3x,2,600,9.96915,60.18567280058981,966711,1166094
2024.02.28-10.42.23-Rec,baseline_127,0,180,3.04925,59.03090923997705,267823,328808
2024.02.28-10.42.23-Rec,freq_step_5st_3x,0,1500,25.40355,59.046865497145085,2270135,2778206
2024.02.28-10.42.23-Rec,freq_step_5st_3x,1,1500,25.4006,59.053723140398255,2778206,3286218
2024.02.28-10.42.23-Rec,freq_step_5st_3x,2,1500,25.40625,59.04059040590406,3286218,3794343
2024.02.28-10.42.23-Rec,green_blue_3s_3i_3x,0,720,12.19235,59.05342284301222,1365975,1609822
2024.02.28-10.42.23-Rec,green_blue_3s_3i_3x,1,720,12.1951,59.04010627219129,1609822,1853724
2024.02.28-10.42.23-Rec,green_blue_3s_3i_3x,2,720,12.19115,59.059235593032646,1853724,2097547
2024.02.28-10.42.23-Rec,iprgc_test,0,0,120.0,0.0,19219291,21619291
2024.02.28-10.42.23-Rec,iprgc_test,1,0,120.0,0.0,21646621,24046621
2024.02.28-10.42.23-Rec,moving_h_bar_s5_d8_3x,0,4520,76.5541,59.0432125777718,4041121,5572203
2024.02.28-10.42.23-Rec,moving_h_bar_s5_d8_3x,1,4520,76.55305,59.04402241321541,5572203,7103264
